"homeInjuries","visitingInjuries","homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
0.01,1,0.3333333333333333,0.5555555555555556,-3.333333333333343,3.1111111111111143,0.25,0.5,0.25,0.6666666666666666,"HOME"
1,1,0.1111111111111111,0.2857142857142857,-7.111111111111114,-6.285714285714292,0.125,0.2857142857142857,0,0,"VISITING"
0.01,1,0.625,0.5,2.5,-2.75,0.625,0.5,0.5,0.75,"VISITING"
0.01,0.01,0.375,0.5,-3,0.875,0.375,0.5,0.6666666666666666,0.25,"HOME"
0.01,0.01,0.375,0.4444444444444444,3.375,-5,0.375,0.5,0.25,0.5,"HOME"
1,0.01,0.5,0.4444444444444444,-3.125,0.22222222222221433,0.5,0.375,0.16666666666666666,0.25,"HOME"
2,1,0.8571428571428571,1,9.142857142857139,13.666666666666671,0.8571428571428571,1,1,1,"HOME"
0.01,3,0,0.6666666666666666,0,5.222222222222214,0,0.75,0.6666666666666666,0,"VISITING"
2,2,0.5555555555555556,0.25,-1.2222222222222285,-3.75,0.625,0.25,0.25,0.5,"HOME"
0.01,1,0.5384615384615384,0.875,-1.9230769230769198,9.25,0.5,0.875,0.75,0.625,"VISITING"
1,1,0.75,0.625,7.875,4.375,0.75,0.625,1,0.6666666666666666,"HOME"
1,1,0.25,0.5,-6.875,0.7999999999999972,0.25,0.5,0.2,0.5,"VISITING"
1,1,0.7777777777777778,0.4444444444444444,3.1111111111111143,0.44444444444444287,0.75,0.5,0.3333333333333333,0.75,"HOME"
1,0.01,0,0.4,-7.857142857142861,-0.3999999999999915,0,0.375,0.14285714285714285,0,"VISITING"
0.01,0.01,0.4,0.7,-5.700000000000003,4,0.375,0.75,0.5,0.6,"VISITING"
2,0.01,0.7142857142857143,0.5,3.5714285714285694,-2.285714285714292,0.7142857142857143,0.5,0.4,0.5,"HOME"
1,2,0.1,0.6,-6.799999999999997,0.7000000000000028,0.125,0.75,0.6,0,"HOME"
0.01,2,0.2222222222222222,0.7142857142857143,-8.777777777777786,4.428571428571431,0.25,0.7142857142857143,0.5,0.4,"VISITING"
0.01,1,0.4444444444444444,0.5555555555555556,-2.444444444444443,1.5555555555555571,0.375,0.5,0.6666666666666666,0.4,"HOME"
1,0.01,0.5555555555555556,0.2222222222222222,-2.1111111111111,-7,0.5,0.125,0.16666666666666666,0.4,"HOME"
3,1,0.7,0.5555555555555556,6.200000000000003,-1.5555555555555571,0.75,0.5,0.6,0.6666666666666666,"HOME"
0.01,0.01,0.4444444444444444,0.4444444444444444,4.333333333333329,0.5555555555555571,0.5,0.375,0.5,0.5714285714285714,"HOME"
1,0.01,0.8571428571428571,0.4,10.285714285714292,-1,0.8571428571428571,0.375,0.16666666666666666,1,"HOME"
2,1,0.2222222222222222,0.375,-5.333333333333329,-5,0.25,0.375,0.25,0.25,"HOME"
1,1,0.5,0.3333333333333333,0.75,-5.666666666666657,0.5,0.25,0.2,0.3333333333333333,"HOME"
0.01,2,0.4666666666666667,0.75,-2.3999999999999915,3.625,0.5,0.75,1,0.5555555555555556,"HOME"
1,1,0.5454545454545454,0.5,1.4545454545454675,-2.4000000000000057,0.5,0.5,0.5,0.8,"VISITING"
1,1,0.8888888888888888,0.4,9,-2.200000000000003,1,0.5,0.2857142857142857,1,"VISITING"
0.01,0.01,0.45454545454545453,0.4,0.2727272727272805,-0.5999999999999943,0.5,0.25,0.4,1,"HOME"
1,0.01,0,0.36363636363636365,-7.75,-2,0,0.25,0.14285714285714285,0,"VISITING"
1,1,0.8,0.7777777777777778,5.400000000000006,9.333333333333329,0.75,0.75,1,0.8,"VISITING"
0.01,2,0.5,0.75,5,5,0.625,0.75,0.6666666666666666,0.625,"HOME"
1,2,0.6,0.3,-1.1999999999999886,-3.700000000000003,0.625,0.375,0.2,0.5,"HOME"
0.01,1,0,0.875,-15,10.5,0,0.875,0.75,0,"VISITING"
2,0.01,0.5555555555555556,0,1.6666666666666572,-7.666666666666671,0.625,0,0,0.5,"HOME"
2,1,0.5454545454545454,0.7272727272727273,-1.181818181818187,4.4545454545454675,0.625,0.625,0.8,0.6,"VISITING"
1,2,0.5454545454545454,0.6666666666666666,-1.818181818181813,3.8888888888889,0.5,0.625,0.5,0.5,"HOME"
0.01,2,0.5,0.2727272727272727,-2,-4.0909090909090935,0.5,0.25,0.16666666666666666,0.6,"HOME"
0.01,2,0.36363636363636365,0.5,-1.5454545454545467,0.5999999999999943,0.25,0.375,0.5,0.4,"HOME"
0.01,1,0.2,0.6363636363636364,-7,-0.36363636363635976,0.125,0.75,0.75,0.3333333333333333,"HOME"
2,1,0.5,0.8888888888888888,1,11.777777777777786,0.375,0.875,0.8,0.6666666666666666,"HOME"
0.01,1,0.5555555555555556,0.45454545454545453,1.3333333333333286,-1.5454545454545467,0.5,0.625,0.375,0.6,"VISITING"
