"homeWLP","visitingWLP","homeDiff","visitingDiff","homeLast8WLP","visitingLast8WLP","visitingWLPAsVisitor","homeWLPAsHome","winningTeam"
0.36363636363636365,0.375,-6.181818181818173,-2,0.375,0.375,0.25,0.5,"HOME"
0.4,0.7777777777777778,0.5999999999999943,4.555555555555557,0.375,0.875,0.75,0.5,"VISITING"
0.25,0.4444444444444444,-4.125,-3.8888888888888857,0.25,0.5,0.25,0.3333333333333333,"VISITING"
0.3333333333333333,0.8,-4.7777777777777715,4.8999999999999915,0.375,0.875,0.8,0.6666666666666666,"VISITING"
0.625,0.5,5,-4.3999999999999915,0.625,0.5,0.6,1,"HOME"
0.6,0.45454545454545453,3,-6.545454545454547,0.625,0.25,0.25,1,"HOME"
0.6666666666666666,0.4444444444444444,2.1111111111111143,-1.1111111111111143,0.625,0.5,0.25,1,"HOME"
0.09090909090909091,0.7,-11.545454545454533,7.700000000000003,0.125,0.75,0.4,0.2,"VISITING"
0.7,0.5,4.299999999999997,-2.4000000000000057,0.75,0.5,0.4,1,"VISITING"
0.7,0.6,7.5,4.400000000000006,0.75,0.625,0.5,0.8333333333333334,"HOME"
0.6363636363636364,0.36363636363636365,2.5454545454545467,-3.5454545454545467,0.5,0.5,0.3333333333333333,0.6666666666666666,"HOME"
0.3333333333333333,0.3333333333333333,-3.444444444444443,-5.333333333333343,0.25,0.25,0.6666666666666666,0.5,"HOME"
0.2222222222222222,0.6363636363636364,-4.555555555555557,8.272727272727266,0.25,0.5,0.4,0.3333333333333333,"HOME"
0.2222222222222222,0.5555555555555556,-4.888888888888886,3,0.125,0.5,0.25,0.2857142857142857,"HOME"
0.5454545454545454,0.4,2.5454545454545467,-2.5,0.625,0.375,0.2,0.75,"HOME"
0.9,0.3333333333333333,9.299999999999997,-5.25,0.875,0.5,0.2857142857142857,1,"HOME"
0.45454545454545453,0.3,-4.454545454545453,-5.300000000000011,0.5,0.25,0.16666666666666666,0.4,"HOME"
0.36363636363636365,0.3,-7,-3.6999999999999886,0.375,0.375,0.16666666666666666,0.75,"VISITING"
0.6363636363636364,0.6666666666666666,3,4.333333333333329,0.625,0.625,0.6,1,"HOME"
0.7272727272727273,0.5454545454545454,8,-1.8181818181818272,0.75,0.625,0.5,1,"VISITING"
0.3,0.9,-5.400000000000006,9.400000000000006,0.25,0.875,0.75,0.16666666666666666,"VISITING"
0.5833333333333334,0.6363636363636364,7.25,3.5454545454545325,0.5,0.625,0.4,0.8333333333333334,"VISITING"
0.4,0.08333333333333333,1.9000000000000057,-11.5,0.5,0.125,0,0.6,"HOME"
0.4166666666666667,0.36363636363636365,-6.25,-0.18181818181818699,0.25,0.25,0.3333333333333333,0.5714285714285714,"VISITING"
0.5,0.3,2.3999999999999915,-4.099999999999994,0.375,0.25,0,0.8,"VISITING"
0.2222222222222222,0.8181818181818182,-8.444444444444443,5.36363636363636,0.25,0.875,0.8333333333333334,0.25,"VISITING"
0.4,0.7272727272727273,0.20000000000000284,8.272727272727266,0.5,0.875,0.5,0.6666666666666666,"VISITING"
0.4,0.6666666666666666,-1.1999999999999886,5,0.5,0.75,0.25,0.6,"HOME"
0.7,0.6666666666666666,2.1000000000000085,3.583333333333343,0.75,0.625,0.5,1,"HOME"
0.36363636363636365,0.5833333333333334,-3,3,0.25,0.625,0.42857142857142855,0.6,"VISITING"
0.3076923076923077,0.9090909090909091,-5.692307692307693,9.181818181818173,0.375,0.875,0.8,0.4,"VISITING"
0.5384615384615384,0.2727272727272727,6.384615384615387,-5.181818181818187,0.5,0.25,0.14285714285714285,0.7142857142857143,"HOME"
0.5,0.45454545454545453,-3.75,1.5454545454545467,0.5,0.375,0.2,0.5,"VISITING"
0.8333333333333334,0.6,5.666666666666671,3.5,1,0.625,0.2,0.8,"HOME"
0.45454545454545453,0.3333333333333333,2.3636363636363598,-7,0.5,0.25,0.14285714285714285,0.6666666666666666,"HOME"
0.6666666666666666,0.07692307692307693,3,-11.15384615384616,0.625,0.125,0,1,"HOME"
0.4166666666666667,0.6666666666666666,-4.416666666666657,6.75,0.375,0.625,0.5,0.5714285714285714,"HOME"
0.4166666666666667,0.36363636363636365,0.6666666666666572,-2.7272727272727195,0.375,0.5,0.2857142857142857,0.4,"HOME"
0.5833333333333334,0.9090909090909091,-1.0833333333333286,9.454545454545453,0.625,1,0.8333333333333334,0.6,"VISITING"
0.38461538461538464,0.2,-6.538461538461547,-8.5,0.25,0.125,0.2,0.5,"HOME"
0.6153846153846154,0.2857142857142857,3.3076923076923066,-6.357142857142861,0.75,0.25,0.25,0.8,"VISITING"
0.18181818181818182,0.46153846153846156,-8.454545454545453,-4,0.125,0.375,0.5,0.2,"VISITING"
0.9166666666666666,0.3076923076923077,10,-6.769230769230774,1,0.25,0.125,1,"HOME"
0.45454545454545453,0.6923076923076923,-0.18181818181817277,3.538461538461533,0.625,0.75,0.3333333333333333,0.6666666666666666,"HOME"
0.6153846153846154,0.8461538461538461,5.692307692307693,5.461538461538467,0.5,1,0.8571428571428571,0.8333333333333334,"VISITING"
0.6153846153846154,0.5714285714285714,3.7692307692307736,8.071428571428584,0.5,0.5,0.3333333333333333,0.7142857142857143,"HOME"
0.9166666666666666,0.42857142857142855,9.666666666666671,-5.5,0.875,0.25,0.2,1,"HOME"
0.6153846153846154,0.36363636363636365,2.2307692307692264,-3.0909090909090935,0.625,0.375,0.3333333333333333,0.8333333333333334,"HOME"
0.3333333333333333,0.2727272727272727,-3.166666666666657,-5.5454545454545325,0.375,0.25,0.5,0.5,"HOME"
0.75,0.36363636363636365,9.916666666666657,-2.3636363636363598,0.875,0.375,0,0.8571428571428571,"HOME"
0.25,0.3333333333333333,-7.25,-3.3333333333333286,0.125,0.25,0.16666666666666666,0.5,"VISITING"
0.6428571428571429,0.5454545454545454,2.142857142857139,2.9090909090909065,0.75,0.625,0.16666666666666666,0.8571428571428571,"HOME"
0.46153846153846156,0.3333333333333333,-3.538461538461547,-2.9166666666666714,0.5,0.375,0.25,0.625,"HOME"
0.7272727272727273,0.07142857142857142,3.1818181818181728,-11.07142857142857,0.75,0.125,0,1,"HOME"
0.3333333333333333,0.5,-2.3333333333333286,2,0.25,0.375,0.3333333333333333,0.5714285714285714,"VISITING"
0.5,0.3333333333333333,-2,-5.466666666666669,0.5,0.25,0.3333333333333333,0.42857142857142855,"VISITING"
0.06666666666666667,0.5,-11.799999999999997,-0.5833333333333286,0.125,0.625,0.14285714285714285,0.16666666666666666,"HOME"
0.6428571428571429,0.5,3.142857142857153,0,0.75,0.625,0.2,1,"VISITING"
0.38461538461538464,0.16666666666666666,-2.1538461538461604,-9.75,0.375,0,0.16666666666666666,0.5,"HOME"
0.5384615384615384,0.6428571428571429,-2.2307692307692264,4.285714285714292,0.625,0.625,0.5,0.5,"VISITING"
0.9230769230769231,0.5333333333333333,9.538461538461547,6.799999999999997,0.875,0.375,0.2857142857142857,1,"HOME"
0.9230769230769231,0.5,11.538461538461547,2.5,1,0.625,0.2,1,"HOME"
0.8571428571428571,0.25,5.928571428571431,-5.833333333333343,1,0.25,0.4,0.8333333333333334,"HOME"
0.7692307692307693,0.5384615384615384,9.307692307692307,2.461538461538467,0.875,0.5,0.42857142857142855,0.875,"HOME"
0.5714285714285714,0.3076923076923077,2.5714285714285836,-2.7692307692307736,0.625,0.125,0,0.6666666666666666,"VISITING"
0.46153846153846156,0.23076923076923078,1.2307692307692264,-7.615384615384613,0.5,0.125,0.125,0.5,"VISITING"
0.46153846153846156,0.5714285714285714,0.8461538461538538,4.428571428571416,0.5,0.5,0.42857142857142855,0.7142857142857143,"VISITING"
0.38461538461538464,0.5,-2.2307692307692264,-2.285714285714292,0.375,0.5,0.2,0.6,"HOME"
0.6666666666666666,0.5333333333333333,4.466666666666669,1.2666666666666657,0.75,0.5,0.5,0.75,"HOME"
0.375,0.5,-4.5,-2.5714285714285694,0.25,0.5,0.5714285714285714,0.3333333333333333,"VISITING"
0.2857142857142857,0.4666666666666667,-6.928571428571431,-2.4666666666666544,0.25,0.5,0.16666666666666666,0.4,"VISITING"
0.4666666666666667,0.9285714285714286,-2.5333333333333314,9.857142857142847,0.5,0.875,0.8333333333333334,0.375,"VISITING"
0.42857142857142855,0.46153846153846156,-0.6428571428571388,-1,0.5,0.5,0.125,0.5714285714285714,"VISITING"
